Nama_File,Contrast,Correlation,Energy,Homogeneity,Dissimilarity,Entropy,FFT_Mean,FFT_Std,Gabor_Mean
istockphoto-1312509574-612x612.jpg,2028.13,0.1940736564507876,0.5580166259935618,0.0,45.03,2.62,2157.52,144648.34,0.0
istockphoto-1312509574-612x612.jpg,2028.13,0.1940736564507876,0.5580166259935618,0.0,45.03,2.62,2157.52,144648.34,0.0
istockphoto-1313488206-612x612.jpg,741.97,0.111063057610622,0.7053508178679629,0.0,27.24,1.71,2050.43,117407.43,0.0
istockphoto-1313488206-612x612.jpg,741.97,0.111063057610622,0.7053508178679629,0.0,27.24,1.71,2050.43,117407.43,0.0
istockphoto-1400453203-612x612.jpg,994.55,0.1302685486900053,0.6510056246108804,0.0,31.54,2.04,2603.93,118936.75,0.0
istockphoto-1400453203-612x612.jpg,994.55,0.1302685486900053,0.6510056246108804,0.0,31.54,2.04,2603.93,118936.75,0.0
istockphoto-1473375455-612x612.jpg,517.22,0.0931021153538117,0.6005356422162392,0.0,22.74,2.12,2105.45,122573.04,0.0
istockphoto-1473375455-612x612.jpg,517.22,0.0931021153538117,0.6005356422162392,0.0,22.74,2.12,2105.45,122573.04,0.0
istockphoto-1498024534-612x612.jpg,1011.79,0.1316710957243559,0.6436663769636253,0.0,31.81,2.02,2416.8,121732.76,0.0
istockphoto-1498024534-612x612.jpg,1011.79,0.1316710957243559,0.6436663769636253,0.0,31.81,2.02,2416.8,121732.76,0.0
istockphoto-1606733996-612x612.jpg,1320.75,0.151323770842997,0.5430384873060108,0.0,36.34,2.6,2829.07,121341.13,0.86
istockphoto-1606733996-612x612.jpg,1320.75,0.151323770842997,0.5430384873060108,0.0,36.34,2.6,2829.07,121341.13,0.86
istockphoto-2148796316-612x612.jpg,1330.0,0.1530452331938867,0.569985388033606,0.0,36.47,2.47,2906.87,147503.21,0.0
istockphoto-2148796316-612x612.jpg,1330.0,0.1530452331938867,0.569985388033606,0.0,36.47,2.47,2906.87,147503.21,0.0
istockphoto-2149491226-612x612.jpg,1838.96,0.1858422484196973,0.4671202056763322,0.0,42.88,3.1,3244.16,143600.47,0.0
istockphoto-2149491226-612x612.jpg,1838.96,0.1858422484196973,0.4671202056763322,0.0,42.88,3.1,3244.16,143600.47,0.0
istockphoto-2149491920-612x612.jpg,2099.04,0.2027245618321705,0.4173026845430236,0.0,45.82,3.44,3253.4,141086.65,0.0
istockphoto-2149491920-612x612.jpg,2099.04,0.2027245618321705,0.4173026845430236,0.0,45.82,3.44,3253.4,141086.65,0.0
istockphoto-2195988779-612x612.jpg,2319.54,0.2109367228076482,0.4277403083517816,0.0,48.16,3.38,3506.21,136317.24,0.0
istockphoto-2195988779-612x612.jpg,2319.54,0.2109367228076482,0.4277403083517816,0.0,48.16,3.38,3506.21,136317.24,0.0
istockphoto-2204068631-612x612.jpg,1866.01,0.1825163737421094,0.6319253610791565,0.0,43.2,2.21,3645.69,129254.13,0.0
istockphoto-2204068631-612x612.jpg,1866.01,0.1825163737421094,0.6319253610791565,0.0,43.2,2.21,3645.69,129254.13,0.0
istockphoto-2211104455-612x612.jpg,1527.16,0.1670763029888859,0.4602815983289891,0.0,39.08,3.13,4047.58,136770.14,0.0
istockphoto-2211104455-612x612.jpg,1527.16,0.1670763029888859,0.4602815983289891,0.0,39.08,3.13,4047.58,136770.14,0.0
