Nama_File,Hue_1,Warna_1,Hue_2,Warna_2
istockphoto-488957174-612x612.jpg,175.0,Merah,,
istockphoto-488957174-612x612.jpg,175.0,Merah,,
istockphoto-501044585-612x612.jpg,177.0,Merah,,
istockphoto-501044585-612x612.jpg,177.0,Merah,,
istockphoto-517715916-612x612.jpg,107.0,Merah,,
istockphoto-517715916-612x612.jpg,107.0,Merah,,
istockphoto-586052010-612x612.jpg,175.0,Merah,,
istockphoto-586052010-612x612.jpg,175.0,Merah,,
istockphoto-609822514-612x612.jpg,2.5,Merah,43.0,Hijau
istockphoto-609822514-612x612.jpg,2.5,Merah,43.0,Hijau
istockphoto-613780354-612x612.jpg,177.0,Merah,,
istockphoto-613780354-612x612.jpg,177.0,Merah,,
istockphoto-616108408-612x612.jpg,6.0,Merah,,
istockphoto-616108408-612x612.jpg,6.0,Merah,,
istockphoto-625771024-612x612.jpg,72.0,Merah,,
istockphoto-625771024-612x612.jpg,72.0,Merah,,
istockphoto-667661104-612x612.jpg,2.0,Merah,,
istockphoto-667661104-612x612.jpg,2.0,Merah,,
istockphoto-667680664-612x612.jpg,36.8,Merah,,
istockphoto-667680664-612x612.jpg,36.8,Merah,,
istockphoto-92360356-612x612.jpg,3.0,Merah,,
istockphoto-92360356-612x612.jpg,3.0,Merah,,
istockphoto-92655916-612x612.jpg,2.0,Merah,,
istockphoto-92655916-612x612.jpg,2.0,Merah,,
istockphoto-95484841-612x612.jpg,2.0,Merah,,
istockphoto-95484841-612x612.jpg,2.0,Merah,,
