Kategori,Nama_File,Hue_1,Warna_1,Area,Perimeter,Circularity,Aspect_Ratio,Solidity,Extent,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_H,Mean_S,Mean_V,Std_H,Std_S,Std_V,Skew_R,Skew_G,Skew_B,Kurt_R,Kurt_G,Kurt_B,Contrast,Correlation,Energy,Homogeneity,Dissimilarity,Entropy,FFT_Mean,FFT_Std,Gabor_Mean,GLCM_Contrast,GLCM_Dissimilarity,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,GLCM_ASM,GLCM_Contrast_0deg,GLCM_Homogeneity_0deg,GLCM_Energy_0deg,GLCM_Contrast_45deg,GLCM_Homogeneity_45deg,GLCM_Energy_45deg,GLCM_Contrast_90deg,GLCM_Homogeneity_90deg,GLCM_Energy_90deg,GLCM_Contrast_135deg,GLCM_Homogeneity_135deg,GLCM_Energy_135deg,Canny_Edge_Density_Low,Canny_Edge_Density_Medium,Canny_Edge_Density_High,Canny_Contour_Count_Low,Canny_Contour_Count_Medium,Canny_Contour_Count_High,Canny_Avg_Contour_Length_Low,Canny_Avg_Contour_Length_Medium,Canny_Avg_Contour_Length_High,Sobel_Mean,Sobel_Std,Hue_2,Warna_2,Hue_3,Warna_3
apel,istockphoto-1296217548-612x612.jpg,107.0,Merah,348881.0,2364.0,0.7844987177781361,1.07,1.0,0.9966206179441474,223.79,163.65,158.08,38.34,91.55,94.46,50.76,89.82,224.92,77.65,90.31,35.96,-1.22,-0.21,-0.1,1.02,-1.69,-1.78,5366.33,0.4047483172928549,0.1784998202360666,0.01,73.26,5.21,4908.54,115419.27,0.0,1.3115,0.5158,0.8023,0.4502,0.9918,0.2027,0.9479,0.822,0.4519,1.6329,0.7819,0.4486,1.0094,0.823,0.4518,1.6559,0.7822,0.4484,2.7823,1.1892,0.6142,256,111,52,69.19,67.04,72.82,33.68,54.24,,,,
apel,istockphoto-1296217548-612x612.jpg,107.0,Merah,348881.0,2364.0,0.7844987177781361,1.07,1.0,0.9966206179441474,223.79,163.65,158.08,38.34,91.55,94.46,50.76,89.82,224.92,77.65,90.31,35.96,-1.22,-0.21,-0.1,1.02,-1.69,-1.78,5366.33,0.4047483172928549,0.1784998202360666,0.01,73.26,5.21,4908.54,115419.27,0.0,1.3115,0.5158,0.8023,0.4502,0.9918,0.2027,0.9479,0.822,0.4519,1.6329,0.7819,0.4486,1.0094,0.823,0.4518,1.6559,0.7822,0.4484,2.7823,1.1892,0.6142,256,111,52,69.19,67.04,72.82,33.68,54.24,,,,
apel,istockphoto-1312496608-612x612.jpg,3.0,Merah,352547.0,2376.0,0.7847548614973534,1.06,1.0,0.9966387362326707,224.14,167.24,151.19,40.82,88.51,98.82,18.51,95.16,224.17,48.13,93.23,40.84,-1.19,-0.28,-0.04,0.46,-1.6,-1.81,5379.15,0.4020600486147956,0.1748423173690026,0.01,73.34,5.36,5181.03,116819.95,0.0,1.3322,0.5321,0.7945,0.439,0.9917,0.1928,1.0538,0.8143,0.4406,1.6297,0.7765,0.4376,0.9811,0.8139,0.4404,1.664,0.7734,0.4375,1.6809,0.7344,0.536,115,32,13,93.55,145.06,259.78,33.63,52.89,,,,
apel,istockphoto-1312496608-612x612.jpg,3.0,Merah,352547.0,2376.0,0.7847548614973534,1.06,1.0,0.9966387362326707,224.14,167.24,151.19,40.82,88.51,98.82,18.51,95.16,224.17,48.13,93.23,40.84,-1.19,-0.28,-0.04,0.46,-1.6,-1.81,5379.15,0.4020600486147956,0.1748423173690026,0.01,73.34,5.36,5181.03,116819.95,0.0,1.3322,0.5321,0.7945,0.439,0.9917,0.1928,1.0538,0.8143,0.4406,1.6297,0.7765,0.4376,0.9811,0.8139,0.4404,1.664,0.7734,0.4375,1.6809,0.7344,0.536,115,32,13,93.55,145.06,259.78,33.63,52.89,,,,
apel,istockphoto-1317485931-612x612.jpg,72.0,Merah,354380.0,2382.0,0.784866067701401,1.05,1.0,0.9966476550459541,218.45,146.36,146.36,45.02,99.31,98.03,52.24,100.32,218.48,79.94,94.01,45.04,-0.93,-0.0,0.06,-0.49,-1.74,-1.78,6464.86,0.4788604773083152,0.155397331879045,0.01,80.4,5.45,5526.45,110872.98,0.0,1.5097,0.5793,0.7823,0.4163,0.9922,0.1733,1.22,0.8007,0.4179,1.7924,0.7637,0.4146,1.0835,0.803,0.418,1.9426,0.7617,0.4146,1.9301,0.7644,0.5425,157,31,20,78.9,156.19,171.91,36.23,55.74,,,,
apel,istockphoto-1317485931-612x612.jpg,72.0,Merah,354380.0,2382.0,0.784866067701401,1.05,1.0,0.9966476550459541,218.45,146.36,146.36,45.02,99.31,98.03,52.24,100.32,218.48,79.94,94.01,45.04,-0.93,-0.0,0.06,-0.49,-1.74,-1.78,6464.86,0.4788604773083152,0.155397331879045,0.01,80.4,5.45,5526.45,110872.98,0.0,1.5097,0.5793,0.7823,0.4163,0.9922,0.1733,1.22,0.8007,0.4179,1.7924,0.7637,0.4146,1.0835,0.803,0.418,1.9426,0.7617,0.4146,1.9301,0.7644,0.5425,157,31,20,78.9,156.19,171.91,36.23,55.74,,,,
apel,istockphoto-139536288-612x612.jpg,3.0,Merah,279838.0,2138.0,0.769309597540746,0.75,1.0,0.9961909237187976,238.41,182.34,161.16,39.3,85.49,100.42,14.53,91.3,244.53,28.16,98.92,21.19,-3.18,-0.59,-0.29,9.44,-1.39,-1.74,4127.27,0.3266091747815299,0.1556126042348029,0.01,64.24,5.21,6907.62,109453.96,0.0,2.7723,0.7289,0.7671,0.4913,0.9773,0.2414,2.3234,0.7808,0.4926,3.1674,0.7556,0.4901,2.115,0.7833,0.4929,3.4837,0.7485,0.4895,2.6055,1.3891,0.807,300,157,82,44.47,44.51,49.02,43.03,74.45,,,,
apel,istockphoto-139536288-612x612.jpg,3.0,Merah,279838.0,2138.0,0.769309597540746,0.75,1.0,0.9961909237187976,238.41,182.34,161.16,39.3,85.49,100.42,14.53,91.3,244.53,28.16,98.92,21.19,-3.18,-0.59,-0.29,9.44,-1.39,-1.74,4127.27,0.3266091747815299,0.1556126042348029,0.01,64.24,5.21,6907.62,109453.96,0.0,2.7723,0.7289,0.7671,0.4913,0.9773,0.2414,2.3234,0.7808,0.4926,3.1674,0.7556,0.4901,2.115,0.7833,0.4929,3.4837,0.7485,0.4895,2.6055,1.3891,0.807,300,157,82,44.47,44.51,49.02,43.03,74.45,,,,
apel,istockphoto-145152710-612x612.jpg,4.0,Merah,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604,226.78,193.41,184.59,45.0,82.06,92.72,9.28,61.62,227.86,31.45,81.54,42.27,-1.5,-0.72,-0.65,1.23,-1.26,-1.45,4937.68,0.3472141710591964,0.3661638871912203,0.01,70.27,3.78,4657.85,106948.63,-0.0,1.4003,0.4286,0.8458,0.6162,0.9905,0.3797,1.1044,0.8593,0.6172,1.7989,0.8351,0.6151,1.0228,0.8585,0.6173,1.6749,0.8304,0.6152,1.2924,0.6904,0.5427,76,19,4,76.56,163.46,619.79,26.76,58.44,,,,
apel,istockphoto-145152710-612x612.jpg,4.0,Merah,248677.0,2036.0,0.753858673847898,0.67,1.0,0.9959190375496604,226.78,193.41,184.59,45.0,82.06,92.72,9.28,61.62,227.86,31.45,81.54,42.27,-1.5,-0.72,-0.65,1.23,-1.26,-1.45,4937.68,0.3472141710591964,0.3661638871912203,0.01,70.27,3.78,4657.85,106948.63,-0.0,1.4003,0.4286,0.8458,0.6162,0.9905,0.3797,1.1044,0.8593,0.6172,1.7989,0.8351,0.6151,1.0228,0.8585,0.6173,1.6749,0.8304,0.6152,1.2924,0.6904,0.5427,76,19,4,76.56,163.46,619.79,26.76,58.44,,,,
