Kategori,Nama_File,Hue_1,Warna_1,Hue_2,Warna_2,Hue_3,Warna_3
mangga,istockphoto-1220524504-612x612.jpg,21.5,Oranye,40.0,Hijau,,
mangga,istockphoto-1220524504-612x612.jpg,21.5,Oranye,40.0,Hijau,,
mangga,istockphoto-1220524506-612x612.jpg,21.0,Oranye,,,,
mangga,istockphoto-1220524506-612x612.jpg,21.0,Oranye,,,,
mangga,istockphoto-1220993696-612x612.jpg,20.0,Oranye,,,,
mangga,istockphoto-1220993696-612x612.jpg,20.0,Oranye,,,,
mangga,istockphoto-1223382354-612x612.jpg,19.0,Oranye,,,,
mangga,istockphoto-1223382354-612x612.jpg,19.0,Oranye,,,,
mangga,istockphoto-1223746290-612x612.jpg,19.0,Oranye,,,,
mangga,istockphoto-1223746290-612x612.jpg,19.0,Oranye,,,,
mangga,istockphoto-1225492835-612x612.jpg,21.5,Oranye,41.0,Hijau,,
mangga,istockphoto-1225492835-612x612.jpg,21.5,Oranye,41.0,Hijau,,
mangga,istockphoto-1253272655-612x612.jpg,23.0,Oranye,25.5,Kuning,,
mangga,istockphoto-1253272655-612x612.jpg,23.0,Oranye,25.5,Kuning,,
mangga,istockphoto-1272230724-612x612.jpg,36.0,Hijau,33.5,Kuning,,
mangga,istockphoto-1272230724-612x612.jpg,36.0,Hijau,33.5,Kuning,,
mangga,istockphoto-1312182523-612x612.jpg,22.33,Oranye,25.5,Kuning,,
mangga,istockphoto-1312182523-612x612.jpg,22.33,Oranye,25.5,Kuning,,
mangga,istockphoto-1312509574-612x612.jpg,22.5,Oranye,25.0,Kuning,,
mangga,istockphoto-1312509574-612x612.jpg,22.5,Oranye,25.0,Kuning,,
mangga,istockphoto-1313488206-612x612.jpg,25.5,Kuning,23.5,Oranye,43.0,Hijau
mangga,istockphoto-1313488206-612x612.jpg,25.5,Kuning,23.5,Oranye,43.0,Hijau
mangga,istockphoto-1400453203-612x612.jpg,21.5,Oranye,46.0,Hijau,,
mangga,istockphoto-1400453203-612x612.jpg,21.5,Oranye,46.0,Hijau,,
mangga,istockphoto-1473375455-612x612.jpg,26.5,Kuning,38.0,Hijau,,
mangga,istockphoto-1473375455-612x612.jpg,26.5,Kuning,38.0,Hijau,,
mangga,istockphoto-1498024534-612x612.jpg,21.0,Oranye,,,,
mangga,istockphoto-1498024534-612x612.jpg,21.0,Oranye,,,,
mangga,istockphoto-1606733996-612x612.jpg,23.0,Oranye,25.5,Kuning,,
mangga,istockphoto-1606733996-612x612.jpg,23.0,Oranye,25.5,Kuning,,
mangga,istockphoto-2148796316-612x612.jpg,21.0,Oranye,,,,
mangga,istockphoto-2148796316-612x612.jpg,21.0,Oranye,,,,
mangga,istockphoto-2149491226-612x612.jpg,20.0,Oranye,,,,
mangga,istockphoto-2149491226-612x612.jpg,20.0,Oranye,,,,
mangga,istockphoto-2149491920-612x612.jpg,16.0,Oranye,,,,
mangga,istockphoto-2149491920-612x612.jpg,16.0,Oranye,,,,
mangga,istockphoto-2195988779-612x612.jpg,17.0,Oranye,,,,
mangga,istockphoto-2195988779-612x612.jpg,17.0,Oranye,,,,
mangga,istockphoto-2204068631-612x612.jpg,22.0,Oranye,40.5,Hijau,,
mangga,istockphoto-2204068631-612x612.jpg,22.0,Oranye,40.5,Hijau,,
mangga,istockphoto-2211104455-612x612.jpg,20.0,Oranye,,,,
mangga,istockphoto-2211104455-612x612.jpg,20.0,Oranye,,,,
mangga,istockphoto-2215332555-612x612.jpg,20.4,Oranye,,,,
mangga,istockphoto-2215332555-612x612.jpg,20.4,Oranye,,,,
mangga,istockphoto-2218376023-612x612.jpg,22.0,Oranye,,,,
mangga,istockphoto-2218376023-612x612.jpg,22.0,Oranye,,,,
mangga,istockphoto-2227962460-612x612.jpg,22.0,Oranye,36.5,Hijau,,
mangga,istockphoto-2227962460-612x612.jpg,22.0,Oranye,36.5,Hijau,,
mangga,istockphoto-469591494-612x612.jpg,17.5,Oranye,38.0,Hijau,,
mangga,istockphoto-469591494-612x612.jpg,17.5,Oranye,38.0,Hijau,,
mangga,istockphoto-494835429-612x612.jpg,26.5,Kuning,24.0,Oranye,,
mangga,istockphoto-494835429-612x612.jpg,26.5,Kuning,24.0,Oranye,,
mangga,istockphoto-514853138-612x612.jpg,21.0,Oranye,,,,
mangga,istockphoto-514853138-612x612.jpg,21.0,Oranye,,,,
mangga,istockphoto-514853306-612x612.jpg,21.5,Oranye,33.0,Kuning,,
mangga,istockphoto-514853306-612x612.jpg,21.5,Oranye,33.0,Kuning,,
mangga,istockphoto-518802266-612x612.jpg,20.0,Oranye,38.5,Hijau,,
mangga,istockphoto-518802266-612x612.jpg,20.0,Oranye,38.5,Hijau,,
mangga,istockphoto-579128056-612x612.jpg,23.5,Oranye,35.5,Hijau,25.0,Kuning
mangga,istockphoto-579128056-612x612.jpg,23.5,Oranye,35.5,Hijau,25.0,Kuning
mangga,istockphoto-811121870-612x612.jpg,22.0,Oranye,,,,
mangga,istockphoto-811121870-612x612.jpg,22.0,Oranye,,,,
mangga,istockphoto-813739486-612x612.jpg,23.5,Oranye,40.0,Hijau,25.0,Kuning
mangga,istockphoto-813739486-612x612.jpg,23.5,Oranye,40.0,Hijau,25.0,Kuning
mangga,istockphoto-943109786-612x612.jpg,21.0,Oranye,,,,
mangga,istockphoto-943109786-612x612.jpg,21.0,Oranye,,,,
mangga,istockphoto-978261872-612x612.jpg,23.5,Oranye,25.5,Kuning,38.0,Hijau
mangga,istockphoto-978261872-612x612.jpg,23.5,Oranye,25.5,Kuning,38.0,Hijau
nanas,istockphoto-1008429106-612x612.jpg,17.0,Oranye,,,,
nanas,istockphoto-1008429106-612x612.jpg,17.0,Oranye,,,,
nanas,istockphoto-1132807691-612x612.jpg,13.0,Oranye,,,,
nanas,istockphoto-1132807691-612x612.jpg,13.0,Oranye,,,,
nanas,istockphoto-1132807783-612x612.jpg,13.0,Oranye,,,,
nanas,istockphoto-1132807783-612x612.jpg,13.0,Oranye,,,,
nanas,istockphoto-120521928-612x612.jpg,20.0,Oranye,,,,
nanas,istockphoto-120521928-612x612.jpg,20.0,Oranye,,,,
nanas,istockphoto-121158297-612x612.jpg,27.33,Kuning,23.0,Oranye,,
nanas,istockphoto-121158297-612x612.jpg,27.33,Kuning,23.0,Oranye,,
